AT,V,AP,RH,PE
20.35,50.9,1012.6,72.43,453.5
25.6,56.9,1006.35,81.58,437.82
26.3,59.07,1007.84,78.32,441.94
15.99,43.34,1014.2,78.66,465.96
14.87,41.2,1016.27,70.51,467.01
28.48,54.2,1013.14,49.51,440.55
14.52,40.35,1011.11,69.84,470.8
19.74,45.38,1015.11,80.67,459.39
5.98,38.91,1016.5,91.83,488.85
17.98,39.63,1005.42,82.12,466.69
24.98,58.98,1010.34,78.56,441.33
19.5,40.79,1003.8,89.45,457.09
17.99,50.59,1015.9,77.28,462.2
22.54,51.95,1007.29,79.28,447.29
21.12,62.52,1015.62,78.98,450.93
14.72,43.34,1013.07,85.61,464.22
10.11,44.85,1014.2,84.81,478.71
9.47,36.54,1007.93,77.65,475.48
18.87,52.05,1012.02,53.46,458.64
9.82,37.83,1005.29,100.07,473.66
20.01,52.9,1018.05,58.88,455.57
19.28,65.46,1013.77,64.24,448.91
24.56,60.27,1017.63,74.5,440.31
25.43,60.95,1014.62,51.39,444.65
12.5,45.51,1015.8,82.82,469.69
24.65,71.98,1006.46,91.11,431.77
24.41,69.48,1008.34,76.13,435.38
17.89,44.6,1014.48,42.51,463.99
19.46,60.07,1014.81,66.61,451.89
14.29,37.85,1009.98,92.81,468.63
23.4,49.16,1002.85,69.82,446.05
19.78,54.42,1011.74,89.34,456.84
32.05,77.24,1008.06,67.09,432.49
23.61,49.16,1002.39,65.63,443.5
7.38,41.22,1016.47,96.29,485.73
18.98,60.1,1010.09,85.34,453.37
9.2,40.77,1011.88,89.86,479.82
25.64,63.47,1012.33,68.35,442.62
31.06,67.17,1007.62,65.54,437.91
21.46,46.63,1012.97,71.29,452.1
6.61,38.68,1017.5,63.88,483.88
21.46,74.87,1009.23,86.58,445.5
29.58,76.2,1008.37,60.73,433.91
13.1,41.48,1009,87.41,460.34
28.61,72.29,1011.61,45.33,446.77
18.59,41.1,1001.93,58.16,459.72
3.31,39.42,1024.05,84.31,487.19
20.01,45.09,1014.21,38.19,453.96
15.41,42.44,1012.6,86.74,472.28
25.95,73.77,1001.35,92.67,432.21
17.72,48.14,1013.26,65.09,457.44
14.42,44.88,1019.35,59.17,462.72
15.72,56.89,1013.35,85.06,456.33
23.57,64.15,1020.95,68.19,450.08
9.26,44.68,1023.22,91.44,478.82
14.28,42.77,1020.06,81.77,466.75
25.72,70.47,1010.44,70.57,434.94
9.48,44.71,1019.12,66.43,478.42
24.98,60.32,1015.63,57.19,444.67
29.5,71.14,1011.27,52.81,430.85
22.28,58.12,1014.54,83.27,448.97
21.04,50.32,1008.41,90.19,446.33
21.9,63.13,1011.54,81.83,447.4
19.31,52.72,1024.93,53.93,455.25
16.76,53.16,1014.13,81.87,457.98
13.86,44.21,1022.6,83.56,468.3
11.92,40.62,1016.66,55.25,468.14
19.83,59.44,1012.98,91.24,446.15
11.62,43.48,1016.66,76.32,468.37
25.95,63.47,1011.77,66.22,445.5
4.86,39.4,1012.73,91.39,488.63
10.5,39.28,1016.55,91.75,480.92
19.82,58.16,1016.76,74.66,455.5
27.66,59.21,1013.12,51.58,438.57
26.73,77.95,1012.31,78.35,434.76
8.72,40.72,1023.48,77.87,485.3
11.44,40.55,1023.37,88.43,477.68
8.04,41.92,1029.7,92.21,482.58
8.85,40.22,1008.61,90.6,482.3
9.25,41.26,1020.51,91.21,473.87
34.6,64.96,1003.3,34.32,427.65
26.45,47.43,1008.87,53.25,442.12
16.81,42.86,1013.83,77.11,464.36
17.35,47.83,1006.71,80.57,453.96
12.45,43.67,1013.61,91.34,474.27
23.75,67.9,1006.25,70.17,445.22
18.41,65.94,1010.23,84.71,452.66
26.64,73.56,1004.98,93.31,432.93
21.86,60.27,1016.06,90.48,446.31
28.86,73.18,1012.46,68.8,427.01
23.66,72.43,1008,89.49,439.02
19.46,46.33,1013.77,89.62,452.11
6.15,40.77,1022.42,88.57,482.49
15.89,43.96,1014.02,75.24,467.35
37.11,68.94,1006.23,31.15,429.25
24.17,48.41,1008.46,76.19,442.62
28.87,57.19,1008.09,64.29,435.57
21.05,63.09,1016.49,91.23,447.45
6.14,39.4,1011.21,90.87,485.94
32.27,71.85,1008.06,59.28,429.72
29.12,67.32,1014.21,48.8,435.2
12.76,42.32,1015.35,78.18,466.15
26.85,74.16,1008.66,93.8,431.16
13.92,44.47,1029.36,70.86,467.29
20.67,57.5,1014.42,81.89,453.29
28.14,51.43,1012.16,52.67,445.33
20.83,67.32,1011.76,73.11,443.17
15.39,42.28,1007.35,81.35,467.3
13.69,40.83,1008.53,84.81,471.26
10.8,41.39,1019.74,74.08,478.75
24.35,58.79,1010.13,72.1,448.19
12.15,45.01,1018.89,90.02,468.07
18.19,43.96,1011.87,79.68,464.58
30.04,68.08,1011.04,51.01,429.52
29.14,75.23,1010.15,54.87,434.82
16.58,38.01,1023.5,60.14,464.03
12.38,48.04,1012.78,100.13,465.99
18.86,51.43,1010.27,86,446.91
3.98,35.47,1017.22,86.53,489.64
11.82,41.54,1019.96,67.65,476.97
23.29,49.3,1003.88,74.12,442.11
19.66,45.01,1014.42,60.14,453.45
16.36,39.99,1008.91,72.48,462.5
5.42,41.38,1020.77,86.02,491.38
19.78,50.32,1008.62,96.4,449.23
28.66,77.95,1009.56,69.07,431.23
9.87,41.82,1033.04,68.57,475.58
7.35,41.66,1015.55,79.67,485.35
6.86,41.17,1020.12,79.14,490.23
19.02,50.66,1013.04,85.25,455.42
15.65,39.59,1012.8,87.63,461.94
12.81,44.58,1016.49,80.76,475.5
30.83,71.58,1009.92,48.8,432.11
11.73,40.64,1020.68,96.98,477.06
24.27,74.93,1012.73,73.81,443.06
12.19,40.05,1014.77,84.39,473.92
14.8,44.92,1024.06,91.67,464.01
28.12,73.42,1011.49,80.16,435.46
22.89,73.11,1006.66,73.11,440.15
24.79,75.6,1017.07,68.23,440.05
21.83,41.1,1001.91,41.79,453.38
28.5,74.87,1009.67,53.78,444.88
17.66,62.1,1019.49,86.3,452.03
29.53,70.79,1003.7,60.89,426.85
16.8,56.03,1020.65,85.26,461.96
22.51,66.49,1014.59,63.03,453.08
15.23,44.9,1007.75,81.34,456.07
26.93,67.07,1005.65,60.26,437.76
27.23,63.9,1014.3,47.19,443.61
12.18,40.1,1016.67,91.87,471.49
27.62,71.14,1011.6,52.8,434.72
16.16,52.05,1013.19,75.37,463.09
24.13,48.98,1014.74,40.13,460.38
27.18,79.05,1008.99,94.32,434.01
13.79,40,1016.02,70.17,461.16
8.99,36.66,1028.11,71.98,481.03
11.82,41.26,1020.74,91.14,466.95
31.96,71.29,1008.39,47.51,433.04
15.04,41.35,1004.29,99.1,467.96
28.23,62.26,1010.88,60.86,435.76
14.76,39.64,1010.37,81.99,465.82
24.26,56.57,1013.86,70.35,442.9
21.11,58.66,1011.7,68.71,457.89
15.17,54.3,1017.38,72.11,464.39
28.52,70.02,1010.34,54.21,441.98
19.02,47.45,1007.44,76.76,453.08
27.73,67.69,1007.47,59.42,431.72
22.75,58.86,1016,67.34,448.32
25.45,69.59,1008.51,83.17,445.61
7.53,41.16,1023.19,91.28,475.7
23.03,54.42,1014.42,74.98,453.77
22.64,63.73,1013.88,84.22,447.21
24.33,49.16,1003.46,61.04,441.2
22.3,50.78,1008.85,81.27,449.86
23.89,65.18,1012.46,78.29,438.97
8.57,40.23,1017.53,90.46,484.17
19.99,40.79,1003.15,87.55,455.28
23.6,62.44,1011.52,78.12,440.66
25.44,66.54,1011.9,56.76,437.99
14.41,43.13,1016.32,59.55,467.46
21.82,58.66,1011.71,64.37,452.16
13.09,43.02,1013.17,46.73,470.14
29.49,70.98,1007.83,79.08,434.43
11.06,41.5,1013.09,89.8,476.24
19.24,56.89,1014.29,72.97,452.64
30.2,70.02,1009.85,63.39,437.48
19.35,39.72,1002.5,51.24,455.29
21.58,67.25,1017.39,79,446.15
19.11,44.85,1014.76,45.86,464.66
27.21,67.45,1013.83,43.26,436.47
17.48,52.9,1020.03,76.47,458.34
24.54,58.66,1011.63,57.62,448.11
9.14,42.44,1014.48,92.03,481.46
12.65,41.93,1023.07,65.05,479.53
16.88,38.58,1014.72,73.99,462.7
25.5,58.79,1016.02,64.4,440.01
28.51,76.09,1007.88,78.2,438.28
14.38,40.71,1023.46,66.12,473.41
16.5,39.72,1003.05,65.99,459.06
30.6,72.29,1010.54,41.52,441.5
22.64,72.24,1011.07,98.55,434.36
29.93,71.85,1008.43,66.64,426.82
11.9,39.16,1016.53,84.59,477.75
28.25,57.19,1007.99,67.9,436.99
11.46,38.91,1012.34,77.37,477.5
12.95,41.38,1021.97,53.83,474.46
21.16,65.48,1016.99,72.79,446.37
32.86,68.51,1008.43,46.78,432.38
13.93,40.2,1013.41,89.86,466.47
7.64,42.28,1008.46,84.29,484.78
31.31,64.44,1014.24,51.08,438.14
19.36,39.54,1008.97,58.92,458.75
20.54,49.15,1021.02,56,458.6
26.3,71.94,1006.64,85.12,428.83
16.98,43.7,1015.07,53.51,464.01
13.78,41.16,1021.65,75.77,460.44
26.48,73.06,1008.07,90.73,433.31
27.59,59.21,1012.93,51.46,437.49
8.83,41.26,1023.04,86.08,478.87
21.33,63.86,1020.33,72.13,445.02
23.46,73.18,1012.07,88.14,438.62
12.04,40.23,1018.07,81.28,472.7
18.89,63.09,1018.47,84.85,450
16.87,52.05,1012.7,71.63,460.31
14.13,40.75,1016.05,72.41,471.44
23.1,59.43,1007.36,85.96,440.64
28.15,71.25,1000.51,81.04,431.28
22.49,61.27,1019.6,57.1,448.51
25.33,48.6,1002.54,68.45,442.48
23.65,59.92,1010.19,89.53,436.74
8.19,40.69,1019.86,85.23,477.76
28.96,75.23,1010.88,49.45,439.03
15.6,44.68,1018.35,85.91,463.82
9.86,42.49,1009.16,81.41,477.78
29.06,71.64,1005.54,69.84,435.98
21.29,59.04,1012.49,84.23,445.37
26.91,70.02,1010.75,59.48,445.31
28.57,51.43,1012.02,47.79,450.04
28.87,71.97,1008.74,82.61,435.86
28.32,77.95,1014.61,77.17,436.97
30.39,71.8,1010.87,64.11,435.82
11.68,40.55,1006.48,96.16,474.8
16.88,43.67,1011.43,73.98,463.81
21.54,58.49,1010.85,78.9,449.12
27.35,60.75,1008.98,67.56,435.14
28.69,67.25,1017.71,44.6,436.21
29.13,62.26,1010.51,52.94,436.37
22.69,54.2,1012.92,65.55,444.26
10.6,40.22,1011.37,85.81,477.62
29.22,73.18,1012.22,64.91,430.57
15.47,38.73,1001.13,77.61,467.96
15.34,43.5,1021.18,79.44,459.77
22.84,71.25,1001.9,96.45,433.85
13.61,41.16,1020.49,75.09,462.67
6.37,41.03,1022.23,80.36,490.47
23.95,58.79,1010.45,74.34,448.32
9.23,39.66,1019.44,76.11,481.77
9.68,41.48,1018.24,71.04,473.31
27.5,65.59,1011.23,65.37,441.27
20.92,57.76,1017.22,75.86,453.96
10.8,41.62,1012.84,93.84,462.84
25.89,59.22,1013.4,80.17,445.75
30.35,69.51,1009.95,39.24,430.07
31.46,71.8,1010.75,54.88,434.96
24.12,58.66,1011.55,58.96,450.69
26.09,60.29,1017.72,50.83,444.71
22.57,63.94,1013.49,81.61,443.58
23.07,70.47,1008.64,83.37,439.04
23.59,71.73,1009.69,87.06,435.67
24.82,66.48,1006.4,70.21,433.62
17.79,43.52,1020.65,68.29,458.57
26.53,65.18,1012.77,64.37,437.39
14.09,45.87,1009.05,84.09,465.6
31.25,68.94,1005.99,49.61,434.51
17.69,44.34,1019.31,61.12,464.13
6.02,41.38,1021.2,88.71,490.57
16.03,65.46,1013.96,87.56,455.17
14.82,42.74,1028.04,69.81,466.34
16.7,46.18,1011.2,96.84,456.2
30.05,66.44,1008.46,76.82,427.55
14.41,46.18,1016.25,88.88,462.49
29.76,57.19,1008.59,51.1,436.21
12.05,40.55,1016.63,100.14,472.19
19.7,43.79,1015.93,47.39,464.41
27,60.96,1012.36,58.97,450.15
11.42,40.43,1025.5,75.85,490.02
18.74,59.21,1018.3,91.55,449.77
30.32,64.69,1006.35,51.36,436.72
26.69,79.74,1008.29,73.79,431.41
23.35,71.77,1005.99,90.79,434.6
25.02,50.78,1008.79,63.06,444.7
27.71,69.51,1009.65,58.38,435.04
32.31,62.04,1010.41,39.39,450.13
23.45,45.61,1012.84,73.42,454.92
14.37,40.56,1021.67,68.18,470.19
17.68,40.89,1011.24,61.37,462.08
31.92,75.33,1001.81,61.97,436.38
10.8,41.66,1013.79,81.96,475.51
17.11,49.78,1007.25,100.09,453.22
12.87,39.3,1020.64,74.38,467.54
12.67,42.86,1014.06,89.9,473.13
6.04,41.14,1027.8,86.4,480.39
29.77,69.48,1009.8,52.6,432.69
27.45,66.25,1009.3,77.58,437.37
29.1,50.05,1005.87,51.53,438.66
22.25,43.79,1015.78,52.68,461.93
20.26,50.32,1009.81,93.12,448.4
30.96,64.44,1013.63,49.64,437.61
10.96,45.01,1017.97,95.82,468.64
28.7,71.64,1007.11,69.85,436.58
17.03,47.83,1004.94,79.68,460.43
17.3,47.45,1010.29,87.13,448.79
25.52,71.98,1006.89,86.94,433.42
17.16,53.16,1013.2,82.85,456.93
20.48,60.29,1017.16,72.1,455.51
24.66,63.73,1011.4,74.52,444.37
27.96,49.16,1004.8,35.64,442.49
9.39,40.11,1029.14,77.29,473.05
20.07,49.21,1012.34,56.8,454.25
28.61,69.84,1004.24,67.74,429.91
12.57,43.8,1023.2,56.85,466.68
24.62,58.66,1011.43,56.61,449.8
12.77,36.71,1013.29,86.4,475.59
19.46,56.89,1014.02,84.95,447.86
22.03,64.69,1007.21,75.75,440.92
25.3,71.29,1007.86,62.98,437.17
21.36,59.54,1007.99,92.62,446.09
17.48,46.21,1014.02,80.78,455.35
7.61,43.22,1014.8,86.92,478.55
14.77,58.2,1018.78,83.83,460.54
15.11,56.03,1020.27,89.95,462.65
8.57,41.17,1020.18,72.47,484.2
11.57,44.63,1020.7,91.11,469.64
7.69,39.96,1023.9,89.18,478.05
15.54,41.23,995.45,83.73,463.06
28.4,59.27,1012.03,59.75,441.64
16.47,44.89,1010.04,82.01,459.69
24.27,61.47,1007.84,80.85,448.66
7.76,39.61,1021.63,80.67,488.32
10.28,39.61,1020.43,69.09,478.34
20.15,58.59,1014.13,91.96,443.85
17.18,40.55,1000.47,72.03,461.73
22.85,60.08,1018.05,67.12,452.5
24.86,63.47,1011.5,71.78,441.68
29.24,60.23,1009.62,59.71,438.24
12.48,39.85,1012.93,60.23,477.17
30.68,69.68,1012.86,56.56,438.68
28.37,68.12,1012.41,45.87,436.42
28.76,69.48,1008.62,55.86,430.14
10.54,34.03,1018.71,74,478.77
28.42,73.4,1011.39,62.72,438.25
25.2,65.59,1013,71.34,439.14
10.84,40.62,1015.53,60.9,467.6
19.89,51.43,1007.38,91.79,448.85
9.45,43.5,1018.89,84.29,476.1
13.9,40.2,1013.13,89.91,464.17
27.61,59.54,1005.84,71.27,437.85
26.88,60.96,1012.1,57.9,446.77
27.61,69.68,1012.79,77.01,438.31
26.82,69.23,1013.28,50.86,436.36
28.18,66.56,1005.69,65.67,426.79
27.21,68.12,1012.96,54.69,435.2
14.02,41.78,1011.26,48.62,465.87
18.68,43.69,1016.68,48.88,463.02
26.14,61.02,1010.13,66.71,436.17
22.47,47.45,1007.62,76.65,447.14
29.64,67.79,1009.99,51.23,440.74
27.16,72.58,1009.24,90.26,429.59
26.54,69.34,1009.5,87.18,435.51
25.96,60.32,1016.17,55.51,443.44
14.32,45.08,1023.24,84.53,467.21
27.27,72.24,1010.69,78.09,432.35
22.16,65.48,1017.22,70.51,446
14.85,43.13,1016.02,55.29,470.37
24.32,58.79,1016.8,65.61,442.78
23.22,69.04,1009.65,89.05,448.6
28.8,71.77,1006.41,66.03,426.87
19.39,60.1,1010.28,83.31,452.57
24.4,69.94,1005.75,58.1,438.76
27.33,73.18,1012.26,82.18,429.38
17.65,62.1,1019.63,84.3,452.2
21.97,68.12,1012.53,75.12,443.39
27.01,43.77,1011.18,46.58,440.64
32.09,69.4,1003.1,56.91,430.62
13.35,41.44,1015.9,66.04,473.17
26.88,73.56,1004.85,94.36,430.63
29.87,73.68,1015.1,40.96,433.43
14.16,39.28,1015.63,77.29,471.27
28.44,74.93,1013.88,52,441.52
10.82,44.63,1020.64,90.26,473.23
25.05,58.59,1013.37,66.14,442.93
20.04,58.2,1017.56,74.31,448.92
10.32,40.35,1011.64,84.05,481.51
15.7,42.99,1007.51,76.05,464.59
28.03,60.23,1010.23,66.04,438.88
14.57,25.88,1008.92,69.16,464.11
14.59,42.44,1012.7,83.92,470.86
7.39,39.85,1011.63,83.61,487.84
31.54,77.24,1008.23,70.19,431.27
19.83,63.94,1019.81,75.05,448.03
12.79,44.68,1022.51,99.55,465.75
20.34,46.63,1013.16,79.08,453.62
16.34,36.99,1006.99,90.06,466.24
12.88,38.53,1010.95,87.16,466.92
24.45,70.02,1010.75,71.37,445.8
5.1,35.57,1027.17,80.49,489.96
28.04,70.32,1011.28,78.16,435.42
13.5,44.92,1023.87,87.17,468.85
9.64,36.66,1027.1,70.11,479.08
29.56,51.43,1005.87,59.22,437.93
13.34,40.83,1008.09,85.85,471.82
13.34,41.79,1011.48,86.66,461.12
18.44,45.38,1014.3,86.02,461.99
19.87,48.14,1016.94,81.56,451.14
13.83,45.08,1024.2,80.52,465.5
9.04,44.68,1023.14,90.73,479.53
19.6,48.14,1013.18,68.71,456.57
9.42,41.4,1029.21,86.4,474.75
13.78,40,1018.38,68.67,458.74
21.26,50.32,1008.41,87.22,446.22
18.32,47.83,1005.06,87.21,454.11
23.7,64.45,1012.87,38.24,451.16
18.62,61.27,1019.26,73.35,455.75
6.81,38.56,1016.5,70.99,487.45
19.36,44.6,1016.25,45.65,464.56
20.51,63.86,1020.65,75.36,447.18
17.19,43.14,1014.34,68.62,464.72
21.45,69.94,1010.5,82.17,443.31
18.09,43.72,1008.64,74.15,453.02
25.41,65.12,1016.01,53.39,442.86
23.48,51.43,1007.13,84.83,441.78
18.89,43.56,1012.79,38.63,463.91
12.59,44.34,1017.01,85.57,474.11
10.56,39.13,1010.19,87.12,463.14
5.25,40.07,1019.48,67.7,495.23
30.03,68.84,1011.41,53.82,439.31
23.88,54.2,1012.81,64.52,444.97
26.91,65.34,1014.19,50.7,443.6
24.39,63.21,1012.59,80.88,446.4
9.28,40.22,1009.23,88.43,480.73
30.09,69.48,1009.51,53.24,435.2
19.3,56.65,1020.55,70.43,459.1
8.95,43.13,1017.56,94.85,479.14
13.95,40.2,1013.18,90.77,464.79
8.6,40.77,1011.8,89.45,480.82
9.7,40.71,1025.63,80.34,483.19
13.42,40.78,1025.03,77.51,459.04
22.31,43.43,1010.64,56.44,449.67
18.34,50.59,1018.42,83.95,457.17
28.71,70.32,1011.78,76.53,435.95
11.27,40.62,1017.03,61.94,471.26
31.86,73.88,1005.6,57.68,435.91
18.34,62.1,1020.52,78.6,453.01
26.45,71.37,1008,77.06,438.36
22.88,69.45,1014.02,65.13,441.76
14.64,39.58,1011.46,71.9,467.8
10.87,37.5,1011.43,95.56,474.07
15.28,43.71,1024.32,81.24,463.44
8.64,39.69,1001.57,98.27,473.55
31.63,68.3,1014.8,42.02,426.86
7.69,38.06,1020.72,83.47,483.54
33.58,77.54,1010.19,53.49,433.75
21.73,64.63,1020.84,68.9,450.36
21.47,57.19,1006.45,75.8,448.31
28.46,73.67,1005.67,71.21,429.15
14.68,43.99,1023.36,86.79,461.91
6.93,43.13,1018.61,88.31,486.94
13.52,42.34,1017.97,95.34,463.71
24.84,59.22,1013.18,83.08,442.7
11.1,40.92,1021.98,94.14,462.07
17.18,46,1002.74,100.1,454.02
27.96,73.42,1011.11,71.93,435.93
20.18,43.43,1011.31,65.11,450.09
6.89,39.37,1020.21,74.17,486.9
28.2,66.75,1018.35,60.18,433.46
5.56,45.87,1006.99,96.48,476.61
21.06,62.91,1011.92,75.52,455.22
30.13,78.05,1010.99,61.5,434.14
30.36,74.87,1008.96,61.87,435.31
32.41,67.83,1008.54,55.96,426.85
27.54,75.6,1018.26,57.89,440.87
14.32,40.78,1024.49,73.84,457.92
26.1,66.25,1009.25,84.52,441.53
28.15,72.24,1010.88,62.39,431.75
8.46,39.42,1025.05,69.36,474.42
14.33,42.86,1010.82,88.59,469.52
7.97,39.04,1018.51,65.17,483.3
25.67,69.88,1007.84,83.32,441.35
17.27,43.52,1021.37,76.73,460.08
14.56,25.88,1009.46,78.22,466.29
26.93,59.54,1004.02,75.5,437.58
15.01,39.52,1017.53,72,468.02
19.43,52.9,1017.16,67.41,458.46
20.08,54.42,1011.79,89.35,457.14
24.73,48.6,1004.03,63.37,439.99
19.95,57.25,1011.08,88.04,453.03
8.68,39.61,1021.54,77.98,486.31
18.16,39.99,1008.13,68.5,461.16
29.08,52.84,1006.14,40.09,438.24
13.97,45.01,1017.44,89.15,461.96
18.76,44.71,1015.15,30.83,462.18
6.1,43.65,1018.07,75.85,485.24
27.45,59.74,1011.34,58.58,450.46
26.71,76.86,1002.86,74.5,437.31
8.94,41.38,1021.5,79.45,479.95
17.32,42.24,1017.35,62.96,472.33
29.55,72.29,1007.94,84.45,430.98
21.25,44.05,1005.69,81.87,448.43
30.96,69.82,1009.6,51.55,438.74
25.64,68.08,1011.06,71.06,431.77
25.82,66.49,1013.2,60.32,434.35
10.01,40.78,1023.71,88.11,470.82
13.55,40.71,1019.13,75.44,467.21
18.75,63.09,1018.19,87.84,450.98
24.43,60.07,1015.59,59.99,444.71
20.18,56.53,1020.3,77.1,454.14
29.79,62.66,1008.5,48.51,440.27
25.28,67.69,1009.05,68.54,445.34
24.8,68.3,1018.01,80.41,436.17
10.32,42.28,1008.82,75.66,481.09
20.17,50.66,1014.38,82.09,454.79
12.31,41.06,1021.19,74.38,475.76
11.38,39.22,1018.62,57.14,473.71
9.88,40,1021.4,92.06,481.58
9.93,40.67,1018.08,69.74,485.23
32.38,69.05,1000.76,45.85,429.31
19.12,58.79,1017.34,92.45,447.02
29.79,77.17,1009.68,64,432.84
25.24,68.28,1000.26,78.17,435.9
23.61,63.94,1012.9,87.06,441.57
12.97,49.83,1008.69,91.49,452.07
12.55,39.58,1010.68,76.9,472.31
26.92,51.43,1012.29,59.33,437.35
12.82,48.14,1017.47,81.45,467.48
10.37,40.03,1017.47,90.47,477.91
27.46,67.69,1004.7,70.15,432.64
25.74,65.38,1009.6,54.34,452.94
21.32,45.01,1012.23,59.94,452.75
14.29,39.59,1012.36,92.38,463.13
6.9,40.62,1018.48,78.84,479.97
22.3,74.87,1009.69,86.18,442.78
29.42,71.32,1002.26,67.13,437.47
23.61,59.39,1015.11,78.84,438.08
20.78,58.86,1016.02,77.29,446.2
22.1,65.06,1014.56,71.5,442.18
16.46,61.27,1020.02,74.54,456.64
5.04,40.64,1021.35,93.63,484.42
23.85,52.3,1005.9,70.95,441.99
21.88,59.39,1015.58,87.19,442.92
15.6,43.71,1024.88,80.37,463.34
10.17,41.46,1020.01,84.86,482.36
8.62,39.54,1011.64,82.86,483.03
25.95,59.14,1016.42,67.03,438.46
26.07,69.23,1013.32,54.03,436.94
14.43,41.76,1024.02,83.57,467.33
7.99,36.08,1020.08,83.2,481.35
13.31,40.03,1017.73,84.48,470.31
18.26,60.95,1016.94,78.91,457.03
23.92,66.54,1009.93,62.37,441.9
24.82,71.94,1010.5,64.67,438.69
21.84,59.39,1015.77,88.12,442.11
10.59,37.5,1013.14,81.56,471.38
8.16,39.3,1019.39,85.38,483.17
21.41,50.32,1008.61,84.47,443.63
22.99,68.67,1006.65,77.62,446.67
21.16,50.66,1014.13,72.77,455.86
19.51,50.16,1010.33,94.37,448.28
12.95,43.71,1025.63,90.7,469.15
21.62,58.59,1012.93,67.05,445.92
15.45,61.27,1019.87,79.21,456.59
4.93,35.19,1018.04,92.94,486.39
6.11,38.68,1017.53,79.23,482.97
9.31,43.56,1015.09,79.96,482.55
31,71.77,1006.29,48.56,431.07
13.81,40.2,1013.66,88.16,464.23
27.6,69.34,1009.63,71.58,440.6
20.8,50.9,1012.07,73.16,457
27.33,66.17,1011.06,64.55,443.89
30.01,65.18,1012.87,43.95,436.91
26.91,71.64,1004.59,83.54,438.73
14.66,47.83,1006.15,91.98,461.46
21.84,55.5,1019.28,62.17,454.99
25.61,74.22,1010.26,75.15,438.45
12.24,34.03,1018.44,69.27,474.18
12.26,39.96,1011.79,79.06,470.87
8.34,40.96,1023.28,89.45,483.92
25.56,74.67,1016.62,76.1,435.81
21.39,62.96,1019.49,72.24,452.68
13.5,54.3,1016.2,77.46,468.92
24.47,75.23,1012.43,75.25,441.07
26.7,70.32,1011.04,86.41,438.46
14.81,43.7,1015.1,60.72,469.5
7.19,39.37,1019.67,70.77,480.4
21.26,51.43,1009.96,80.66,455.45
13.89,43.7,1015.12,64.99,470.88
13.35,40.27,1005.83,49.75,474.68
9.99,43.52,1022.95,99.67,473.64
6.71,40.96,1022.71,91.89,486.58
21.69,57.17,1011.75,82.63,446.61
7.55,43.65,1019.09,61.71,481.61
14.65,39.28,1014.04,77.98,470.41
32.87,70.8,1009.54,59.85,433.1
22.36,58.79,1016.69,73.6,445.76
19.53,50.32,1009.71,94.46,449.59
26.19,65.61,1014.51,54.52,443.73
9.41,39.61,1016.14,78.38,477.34
5.62,41.38,1020.91,86.21,490.83
7.55,38.08,1019.37,76.32,485.49
30.7,71.58,1010,48.96,429.27
20.17,56.03,1019.47,56.77,458.04
29.43,66.75,1017.63,42.72,434.6
27.76,65.59,1010.8,67.29,439.03
21.67,60.84,1017.93,81.63,442.33
22.69,58.46,1017.74,75.21,443.47
25.81,66.51,1016.53,62.19,437.57
13.03,39.52,1016.68,83.09,473.99
13.03,39.35,1015.34,79.18,474.02
10.54,42.02,997.5,99.77,472.64
29.37,74.78,1009.47,55.65,434.2
10.77,41.54,1019.94,71.13,477.81
4.71,42.07,1005.35,82.26,486.79
15.48,44.99,1011.94,69.95,463.92
9.47,40.81,1026.44,91.87,479.96
32.22,70.8,1009.9,62.03,433.07
22.97,42.48,1012.84,64.71,466.7
16.79,49.25,1021.21,68.8,458.42
14.62,42.86,1015.56,84.5,470.79
31.59,58.9,1003.39,47.6,440.52
18.1,48.06,1015.47,82.47,454.04
29.54,69.48,1008.91,56.07,427.82
22.86,62.4,1010.59,78.24,445.66
10.59,25.36,1009.59,100.16,470.96
25.59,61.08,1013.19,77.28,443.91
8.4,38.5,1013.67,69.13,486.5
24.04,60.77,1017.62,75.23,442.25
23.59,59.43,1009.96,65.8,440.61
25.92,73.77,1001.27,94.28,432
22.04,59.14,1017.34,84.75,442.45
13.72,44.47,1027.2,68.89,470.66
10.46,37.5,1013.12,76.74,472.16
25.59,73.5,1011.19,81.52,435.48
32.18,65.74,1010.89,46.52,435.58
30.85,68.94,1007.31,68.99,426.1
19.88,44.6,1015.52,37.85,467.68
23.31,68.63,1014.73,51.57,448.2
27.11,70.04,1009.76,71.25,431.96
15.18,44.2,1019.6,72.45,462.09
22.06,59.39,1015.26,85.04,441.31
24.42,64.79,1016.12,69.32,449.1
25.66,71.77,1006.76,84.76,429.25
32.81,71.32,1007.69,47.29,434.38
13.77,42.86,1030.72,77.3,471.38
11.76,41.58,1020.91,88.35,465.45
13.51,43.22,1009.63,75.02,465.89
6.1,39.33,1010.4,95.34,491.37
7.06,41.74,1021.95,90.38,448.97
28.13,61.25,1013.12,62.57,436.61
26.44,69.34,1009.55,73.18,440.43
27.01,67.98,1006.01,67.98,434.65
6.63,39.37,1020.33,76.18,489.16
13.08,39.82,1012.27,85.21,476.96
33.17,70.4,1004.45,58,430.14
23.6,65.48,1017.44,61.26,444.38
29.14,61.5,1009.64,39.95,437.76
29.28,74.33,1011.66,72.37,426.53
10.22,39.64,1010.72,63.05,477.22
20.99,50.12,1008.82,95.97,448.07
30.62,66.54,1004.11,55.36,429.01
